feature,role,dtype,description,in_model_features
average_duration_of_resolution,base_numeric,float64,口座や取引の平均継続期間を表す指標です。,True
balance_trade_ratio_log1p,log_numeric,float64,balance_trade_ratio に対して log1p 変換を適用した列。,True
credit_history_length,derived_numeric,float64,初回取引からの経過月数。,True
delinquency_trade_ratio_log1p,log_numeric,float64,delinquency_trade_ratio に対して log1p 変換を適用した列。,True
delinquency_trade_sum_log1p,log_numeric,float64,delinquency_trade_sum に対して log1p 変換を適用した列。,True
estimate_of_risk,base_numeric,float64,申込者の信用リスクの推定スコア。大きいほど低リスク寄りと解釈されることが多いです。,True
estimate_of_risk_is_special_9,special_value_flag,int64,estimate_of_risk が特殊値 -9 を持っていたことを表すフラグ。意味: 信用情報の記録がない、または調査自体が行われていない。,True
high_ratio_bank_share_log1p,log_numeric,float64,high_ratio_bank_share に対して log1p 変換を適用した列。,True
illegal_trade_gap,derived_numeric,float64,全期間の問題取引最大件数と過去1年の最大件数の差。,True
inquiry_pressure_log1p,log_numeric,float64,inquiry_pressure に対して log1p 変換を適用した列。,True
maximum_illegal_trades,base_numeric,float64,観測期間全体での問題取引数の最大値。,True
maximum_illegal_trades_over_last_year,base_numeric,float64,過去1年で観測された問題取引数の最大値。,True
months_since_first_trade,base_numeric,float64,最初の信用取引を開始してからの経過月数。信用履歴の長さを表します。,True
months_since_first_trade_is_special_8,special_value_flag,int64,months_since_first_trade が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
months_since_last_illegal_trade_is_special_7,special_value_flag,int64,months_since_last_illegal_trade が特殊値 -7 を持っていたことを表すフラグ。意味: その項目に対応する事象が起きていない。,True
months_since_last_illegal_trade_is_special_8,special_value_flag,int64,months_since_last_illegal_trade が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
months_since_last_illegal_trade_log1p,log_numeric,float64,months_since_last_illegal_trade に対して log1p 変換を適用した列。,True
months_since_last_inquiry_not_recent_is_special_7,special_value_flag,int64,months_since_last_inquiry_not_recent が特殊値 -7 を持っていたことを表すフラグ。意味: その項目に対応する事象が起きていない。,True
months_since_last_inquiry_not_recent_is_special_8,special_value_flag,int64,months_since_last_inquiry_not_recent が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
months_since_last_inquiry_not_recent_log1p,log_numeric,float64,months_since_last_inquiry_not_recent に対して log1p 変換を適用した列。,True
months_since_last_trade_log1p,log_numeric,float64,months_since_last_trade に対して log1p 変換を適用した列。,True
net_fraction_of_installment_burden,base_numeric,float64,分割払い型口座の負担度合いを表す比率的な指標です。,True
net_fraction_of_installment_burden_is_special_8,special_value_flag,int64,net_fraction_of_installment_burden が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
net_fraction_of_revolving_burden,base_numeric,float64,リボルビング型口座の負担度合いを表す比率的な指標です。,True
net_fraction_of_revolving_burden_is_special_8,special_value_flag,int64,net_fraction_of_revolving_burden が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
nr_banks_with_high_ratio_is_special_8,special_value_flag,int64,nr_banks_with_high_ratio が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
nr_banks_with_high_ratio_log1p,log_numeric,float64,nr_banks_with_high_ratio に対して log1p 変換を適用した列。,True
nr_inquiries_in_last_6_months_log1p,log_numeric,float64,nr_inquiries_in_last_6_months に対して log1p 変換を適用した列。,True
nr_inquiries_in_last_6_months_not_recent_log1p,log_numeric,float64,nr_inquiries_in_last_6_months_not_recent に対して log1p 変換を適用した列。,True
nr_installment_trades_with_balance_is_special_8,special_value_flag,int64,nr_installment_trades_with_balance が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
nr_installment_trades_with_balance_log1p,log_numeric,float64,nr_installment_trades_with_balance に対して log1p 変換を適用した列。,True
nr_revolving_trades_with_balance_is_special_8,special_value_flag,int64,nr_revolving_trades_with_balance が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
nr_revolving_trades_with_balance_log1p,log_numeric,float64,nr_revolving_trades_with_balance に対して log1p 変換を適用した列。,True
nr_total_trades,base_numeric,float64,総取引件数。,True
nr_trades_initiated_in_last_year_log1p,log_numeric,float64,nr_trades_initiated_in_last_year に対して log1p 変換を適用した列。,True
nr_trades_insolvent_for_over_60_days_log1p,log_numeric,float64,nr_trades_insolvent_for_over_60_days に対して log1p 変換を適用した列。,True
nr_trades_insolvent_for_over_90_days_log1p,log_numeric,float64,nr_trades_insolvent_for_over_90_days に対して log1p 変換を適用した列。,True
number_of_satisfactory_trades,base_numeric,float64,問題なく維持されている取引口座の件数。,True
percentage_of_installment_trades,base_numeric,float64,分割払い型取引の割合。,True
percentage_of_legal_trades,base_numeric,float64,重大な問題のない正常取引の割合。,True
percentage_trades_with_balance,base_numeric,float64,残高がある取引の割合。,True
percentage_trades_with_balance_is_special_8,special_value_flag,int64,percentage_trades_with_balance が特殊値 -8 を持っていたことを表すフラグ。意味: 履歴はある前提だが有効な記録がない。,True
recent_activity_gap,derived_numeric,float64,初回取引からの経過月数と直近取引からの経過月数の差。最近どれだけ取引活動があったかを表す指標。,True
recent_inquiry_share,derived_numeric,float64,過去6か月照会のうち、ごく最近を除いた照会が占める比率。,True
revolving_installment_burden_gap,derived_numeric,float64,リボルビング型負担率と分割払い型負担率の差。,True
satisfactory_trade_ratio_log1p,log_numeric,float64,satisfactory_trade_ratio に対して log1p 変換を適用した列。,True
is_at_risk,target,int64,目的変数。1 は高リスク、0 は低リスクを表します。,False
